review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__image-avatar src,super-reviewer-badge
https://www.rottentomatoes.com/profiles/OydsBVCg6hrqhbQFjzIBahk6IkkC8nhdQHWYi0qh22CNniDLu9pFLoUKKCnOFblie8sKXiGGCkrfnJuk0FlACogFoxSK9H0KsRaFmpcjYI8D,https://www.rottentomatoes.com/profiles/OydsBVCg6hrqhbQFjzIBahk6IkkC8nhdQHWYi0qh22CNniDLu9pFLoUKKCnOFblie8sKXiGGCkrfnJuk0FlACogFoxSK9H0KsRaFmpcjYI8D,Rami A,"Feb 4, 2025","This movie is a mess. It tells more than one story rather than one whole entire story. Nothing feels connected, nor does anything work. After the first half, the movie becomes more of a mess. The two main characters aren't present, which makes you wonder who really are the main characters.",,,
https://www.rottentomatoes.com/profiles/NXBFD0CkWimkHoQHpgImvuqLSbbCA6s8bSvAHWDuRRCv9iz1f8vij2HGGCRdu4YhrQtjOT99CDOHjxS8Wik9S92Fb2CwxFwMH2MCwVH21Fmj,https://www.rottentomatoes.com/profiles/NXBFD0CkWimkHoQHpgImvuqLSbbCA6s8bSvAHWDuRRCv9iz1f8vij2HGGCRdu4YhrQtjOT99CDOHjxS8Wik9S92Fb2CwxFwMH2MCwVH21Fmj,Lucas G,"Jan 28, 2025",I don’t think there’s much that can be said about this movie other than it’s an entertaining movie that you can rewatch and still enjoy. With many notable moments that you can look back on.,,,
https://www.rottentomatoes.com/profiles/Qw8I64fXWS0GHeWu6muJKSLGf66CBOI6YTyJToPSqqCRLi6xtQ4FKlsppC8gFn6I1dhobFDDC8JuxYf2guxOsXyi8yhzGC4ksm9svzfovcXR,,,"Dec 23, 2024","A true classic, this satirical take on the Vietnam war is worth a watch.",,,
https://www.rottentomatoes.com/profiles/pZjukvtkLfpoIyMulwIpDigvcRRCZMfYvF0BumvHbbCWgiqAIpqudgFNNClNIVnuryF8MIkkC2BHLlhd9c0jSvNHeliWQczpT2BFnwClquwb,https://www.rottentomatoes.com/profiles/pZjukvtkLfpoIyMulwIpDigvcRRCZMfYvF0BumvHbbCWgiqAIpqudgFNNClNIVnuryF8MIkkC2BHLlhd9c0jSvNHeliWQczpT2BFnwClquwb,Kevin P,"Dec 2, 2024","A fantastic satire of the Vietnam War that's hilarious in the first half and harrowing in the second half. R Lee Ermey is legendary as the belligerent drill sergeant. He easily steals the show. He's hilarious and terrifying at the same time with his cartoonist intensity. Every line he says is super quotable and it's no wonder he was a former drill sergeant in real life. The first half is definitely better than the second, but the second half is still bittersweet enough to make this a classic in my book.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/YkeTGbiNlHapIx1uPyIDqiAQu66CRjFx0tAwFMvTKKCqviLefK2HBoCvvCdyFrNFM0hwLczzC4LTQLtVPukwhmksxZuRVFN9FAdTdgf4KT18,https://www.rottentomatoes.com/profiles/YkeTGbiNlHapIx1uPyIDqiAQu66CRjFx0tAwFMvTKKCqviLefK2HBoCvvCdyFrNFM0hwLczzC4LTQLtVPukwhmksxZuRVFN9FAdTdgf4KT18,Peter W,"Nov 29, 2024","FMJ follows the Dirty Dozen approach to war films by beginning with the training of ""useless maggots"" into killer marines. Entertaining though this is, the momentum & focus is quickly dissipated by a ""Good Morning Vietnam"" interlude before the war action finally arrives. Whilst illustrating the seeming futility & lack of clear military purpose of the Vietnam war may have been one of the director's key purposes, it doesn't make for particularly rivetting viewing until the last 20 minutes of the film when the on-screen tension & brooding industrial soundtrack combine to at least send us all home relatively satisfied by the overall cinematic experience.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/9XGiBJhM4F1rSw0sqliGgsbjs88CXMcqeIB0TygfVVC2KiRvSqGTvdTPPCZ9uDqf09IOJiXXCb1sgBhNVFPetvnIOpHZBI9ATGWuNotp9FMz,https://www.rottentomatoes.com/profiles/9XGiBJhM4F1rSw0sqliGgsbjs88CXMcqeIB0TygfVVC2KiRvSqGTvdTPPCZ9uDqf09IOJiXXCb1sgBhNVFPetvnIOpHZBI9ATGWuNotp9FMz,CHRISTOPHER B,"Nov 24, 2024","Qué gran película, refleja la brutal verdad de lo que viven los soldados en la guerra, locura total.",,,
https://www.rottentomatoes.com/profiles/KKJI6AtKaI6YiGDIwlFqwuNdI44CBNSXOI89SzkTggCLMid4s6yu8OswwCwoIrpub2tO9iwwCeRuVAhjACjGs1GuN0tZpFQaSGDuBjsnJuZP,https://www.rottentomatoes.com/profiles/KKJI6AtKaI6YiGDIwlFqwuNdI44CBNSXOI89SzkTggCLMid4s6yu8OswwCwoIrpub2tO9iwwCeRuVAhjACjGs1GuN0tZpFQaSGDuBjsnJuZP,Will G,"Nov 13, 2024",A disturbing film at the beginning. Once they got to Vietnam I liked the movie better. Stanley Kubrick is a great director. I like the soundtrack to this film.,,,
https://www.rottentomatoes.com/profiles/GPyh0BUGxTe6h8ZHwGsMliKNFeeCXbfLAFVjijKTRRCzRi1GhkAIwyillCxXuexHjMTgdIYYCDQSNlIgKfvkFjWtGYFQrcZmFJ2SBRsVKuYv,https://www.rottentomatoes.com/profiles/GPyh0BUGxTe6h8ZHwGsMliKNFeeCXbfLAFVjijKTRRCzRi1GhkAIwyillCxXuexHjMTgdIYYCDQSNlIgKfvkFjWtGYFQrcZmFJ2SBRsVKuYv,Keith B,"Oct 27, 2024","Unpopular opinion, but I actually prefer the Vietnam half better than the basic training half. Either way, both parts of the film are absolutely amazing. R. Lee Ermy did an excellent job of portraying the Drill Sargeant.",,,
https://www.rottentomatoes.com/profiles/qAKTX9fpVuyMIRkizgF2WCezIzzC9vs6XspAFk2ImmCkniYAiZpSRwIXXCpOIaXSoWSakSPPC1Jiawfdyc4LSGkIZPuqPSA1tOruVmFOGhl6,https://www.rottentomatoes.com/profiles/qAKTX9fpVuyMIRkizgF2WCezIzzC9vs6XspAFk2ImmCkniYAiZpSRwIXXCpOIaXSoWSakSPPC1Jiawfdyc4LSGkIZPuqPSA1tOruVmFOGhl6,André Ferreira F,"Oct 14, 2024","A tentativa de Stanley Kubrick de fazer um filme sobre a guerra do Vietname é bastante singular. Ao invés de se focar tanto na guerra em si, o filme explora a influência que a guerra tem no psicológico das pessoas. Isto, combinado com a narração de certo modo jornalística do protagonista, fazem deste um fantástico filme do género.",,,
https://www.rottentomatoes.com/profiles/jkmTGRSp6HALfQMueVunjHjKI00CdLfqZfq1cgxFLLCWbidaSzPHQzIDDCmwuGpukgsLdtXXClVS91FWdIm4SWyHkBTOaC41C9nTaDTA0SwB,https://www.rottentomatoes.com/profiles/jkmTGRSp6HALfQMueVunjHjKI00CdLfqZfq1cgxFLLCWbidaSzPHQzIDDCmwuGpukgsLdtXXClVS91FWdIm4SWyHkBTOaC41C9nTaDTA0SwB,Dave B,"Oct 5, 2024","The first half of this movie is amazing! Ermey and D’Onofrio carry the movie even though they’re only in it for half the movie, with the brutality of the training, and Private Pyle descending into a mental instability. The 2nd half of the movie is nothing to write home about, but that 1st half more than makes up for it",,,
https://www.rottentomatoes.com/profiles/yrNhYPijPuKlHMdUPlHqkiAXIjjCYvseNI4efpGt66CjAiBeFYAt2mCzzC60iP0FqdFW2HxxCAjTmKt8xUBwiWYtD8IaPt10swNhOgS2vfaN,https://www.rottentomatoes.com/profiles/yrNhYPijPuKlHMdUPlHqkiAXIjjCYvseNI4efpGt66CjAiBeFYAt2mCzzC60iP0FqdFW2HxxCAjTmKt8xUBwiWYtD8IaPt10swNhOgS2vfaN,Mason M,"Sep 10, 2024","An amazingly well done war film, the two parts are both great on their own, especially the first, but the main flaw is their lack of connection which can make the film seem quite pointless.",,,
,,,"Sep 8, 2024",Stanley Kubrick’s take on the Vietnam War stars a lot of great actors and even a real life drill sergeant aka (R. Lee Ermey) overall a very gritty and chilling movie that deserves a 10/10,,,
https://www.rottentomatoes.com/profiles/jkdFGnTp9hBRFQ2CezFnQuBKT00Ca0IqdiX9fgOCLLCWbiMeHzLIQWhDDCmjFGMhkgsLxuXXCOZc6pfPosmpFWrhnpFOQtBasdzFqdcAzsw1,,,"Jul 31, 2024","Despite not being a horror movie, this terrified me a good bit. The wonders of a Kubrick film.",,,
https://www.rottentomatoes.com/profiles/62duWGHgMCglhz1C6XhrNiGLF99CvDij0SDBf9KuNNCqaipoF4dH6mfnnCeruYbhWGik0FmmCkbFjoswMI9MCrwuwJILYcg2fGXHKbIWVI8y,https://www.rottentomatoes.com/profiles/62duWGHgMCglhz1C6XhrNiGLF99CvDij0SDBf9KuNNCqaipoF4dH6mfnnCeruYbhWGik0FmmCkbFjoswMI9MCrwuwJILYcg2fGXHKbIWVI8y,Kim P,"Jul 28, 2024","Two different movies in one film. The basic training part was completely fascinating and incredibly well-done. The actual war part was pretty standard, but well-paced and well-directed. Just an unavoidable let-down from the state-side portion of the film.",,,
