review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__image-avatar src
https://www.rottentomatoes.com/profiles/nxMiDeu6LFGksP0uaPToVhdBhAACMeIdKIXeCbNsddCZ0iqGuXKuANcllCJYUOkTOzuVrTwwCXWs4ys8KFQbhDmTKNFVXTW6HLMtoNSJ2Cqw,https://www.rottentomatoes.com/profiles/nxMiDeu6LFGksP0uaPToVhdBhAACMeIdKIXeCbNsddCZ0iqGuXKuANcllCJYUOkTOzuVrTwwCXWs4ys8KFQbhDmTKNFVXTW6HLMtoNSJ2Cqw,HS F,"Jul 15, 2025",Absolutely loved it! And the best part? I got to experience it on the big screen for the very first time! What an epic way to watch a classic!,,
,,,"Jul 3, 2025","How can you not be entertained?! Ridley Scott’s sword-and-sandal epic is the catalyst that led to a majority of modern men’s obsession with the Roman Empire. The timeless, spectacular action combined with a simple yet poignant story makes this one of the prime examples of a blockbuster film at its best. Russell Crowe delivers a peak performance as the honorable hero, Maximus. Joaquin Phoenix matches Crowe’s excellence, playing the villainous foil, Commodus, a role that would launch him into stardom as well. While the gladiator combat is a major draw of the film, it’s the film’s exploration of societal power and the resilience of the human spirit that sets “Gladiator” apart from its many imitations.",SHOW MORE,
https://www.rottentomatoes.com/profiles/AlgS2yHkwCkgTpXs6NTY2HKjsaaC9JU8zcqbikGiaaCyriWnTg8uvZI11CBvFgziXJsZBH99CrauXvuYJFbJF8DfqkhLDtGvFapsdoFmQFae,https://www.rottentomatoes.com/profiles/AlgS2yHkwCkgTpXs6NTY2HKjsaaC9JU8zcqbikGiaaCyriWnTg8uvZI11CBvFgziXJsZBH99CrauXvuYJFbJF8DfqkhLDtGvFapsdoFmQFae,Chris H,"Jun 30, 2025",A brilliant film - breathtaking in its scope but also intimate in the portrayal of its characters. Every scene is a joy and Russell Crowe and Joaquin Phoenix are magnificent.,,
https://www.rottentomatoes.com/profiles/nk6uDKHpMSGpTPOIalSoVhD2iAAC9JSnKTlmFbPiddCZ0iqmiXbHdGfllCJGcOQuGKsVvhwwCXAi4ys8VtQoSD9hMYiVXTWkSjdHomHQGHqd,,,"Jun 29, 2025","Absolute masterpiece, best movie in the world",,
https://www.rottentomatoes.com/profiles/qAQsX1iGwiyGcNaczku2VckmSzzC9zh6mSM9HkGtmmCkniYWuZoIRZsXXCpOIaXS6piaRhPPC1PIadHdycXGH9YIZXfqJfwqiOjFVmFOnslm,https://www.rottentomatoes.com/profiles/qAQsX1iGwiyGcNaczku2VckmSzzC9zh6mSM9HkGtmmCkniYWuZoIRZsXXCpOIaXS6piaRhPPC1PIadHdycXGH9YIZXfqJfwqiOjFVmFOnslm,Nenad V,"Jun 26, 2025","One of my top 3 favorite movies ever. The best history movie ever made. I watched this in theaters back in 2000,had the time of my life,and in the blink of an eye, 25 years have passed.",,
https://www.rottentomatoes.com/profiles/nx6hDgipkHG1uwqIakhoATDZSAAC9JSdKIlMIbJfddCZ0iqGuXbHAkCllCQvF1QCGLSVqiwwCXGu4linBSQYuDxIKptJ1F0NUjzfxOIQGHqd,https://www.rottentomatoes.com/profiles/nx6hDgipkHG1uwqIakhoATDZSAAC9JSdKIlMIbJfddCZ0iqGuXbHAkCllCQvF1QCGLSVqiwwCXGu4linBSQYuDxIKptJ1F0NUjzfxOIQGHqd,Garrett B,"Jun 20, 2025","Filled with epic spectacle, choreographed fight scenes, and great performances, Gladiator is one of the best films of all time.",,
https://www.rottentomatoes.com/profiles/mMrsO6HaWFeJC8Jf2WCQxFBlhVVCodIJOSRrHAJILLCZoiJnTmzCezizzCreujOT1lTQPhPPCKLu0yhXKIPdc96I8euD4IkDTNnuYRIyXc9M,https://www.rottentomatoes.com/profiles/mMrsO6HaWFeJC8Jf2WCQxFBlhVVCodIJOSRrHAJILLCZoiJnTmzCezizzCreujOT1lTQPhPPCKLu0yhXKIPdc96I8euD4IkDTNnuYRIyXc9M,Bing B,"Jun 20, 2025",Top 5 movies of all time,,
https://www.rottentomatoes.com/profiles/m8AID6ubyhaof8pIdxiQ2TB9HVVCoQfxoF2GTO0iLLCZoiJnTb2SelszzC2MFjVs1MSroCPPCKGIzlIa4cjRu9kuaGFDrhkOh4WIlAHGPS9K,https://www.rottentomatoes.com/profiles/m8AID6ubyhaof8pIdxiQ2TB9HVVCoQfxoF2GTO0iLLCZoiJnTb2SelszzC2MFjVs1MSroCPPCKGIzlIa4cjRu9kuaGFDrhkOh4WIlAHGPS9K,Stephen C,"Jun 16, 2025",2 hours and 34 minutes is too long!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,
https://www.rottentomatoes.com/profiles/V1VsmwuqnCjwC2pHz8SX2sKMcooCyZhlMuPDsKOSeeC6viVWtBjHmOtbbCXnIlncxwtDouMMCnqIyMtZwIB1F48URlIONHqKcO1uwAFnZFy6,https://www.rottentomatoes.com/profiles/V1VsmwuqnCjwC2pHz8SX2sKMcooCyZhlMuPDsKOSeeC6viVWtBjHmOtbbCXnIlncxwtDouMMCnqIyMtZwIB1F48URlIONHqKcO1uwAFnZFy6,Sam R,"Jun 11, 2025",Really great story and solid acting all around.,,
https://www.rottentomatoes.com/profiles/RzJcJzHomIYosnLh4zHQNu9AUAACNDFJMuBmSd2unnCx6io4CD6ivLFZZCPLudGue8sBMFGGCvbTPaILWFZbS24Id1s9zI2lsBaFWoh9OsaR,https://www.rottentomatoes.com/profiles/RzJcJzHomIYosnLh4zHQNu9AUAACNDFJMuBmSd2unnCx6io4CD6ivLFZZCPLudGue8sBMFGGCvbTPaILWFZbS24Id1s9zI2lsBaFWoh9OsaR,Wicked F,"Jun 3, 2025","Severely underrated! This film is exceptional! The story, acting, cinematic elements etc etc are brilliant. Not to mention the beautiful soundtrack, that pulls on your emotions. A masterpiece",,
