review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__verified
https://www.rottentomatoes.com/profiles/x9efVWHObh2LtrdSbdFwRfkRujjCzAunYT0GHJ9fmmCdxi2ZTbZcKnHjjCqpIr9cx6uDPSNNCBquRPHgQHZaI4khxeszJu2KU1kinKIV8Iq4,https://www.rottentomatoes.com/profiles/x9efVWHObh2LtrdSbdFwRfkRujjCzAunYT0GHJ9fmmCdxi2ZTbZcKnHjjCqpIr9cx6uDPSNNCBquRPHgQHZaI4khxeszJu2KU1kinKIV8Iq4,Matheus F,"Aug 5, 2025","Joaquin Phoenix, Todd Phillips and the soundtrack are a magnificent combo.",,,
https://www.rottentomatoes.com/profiles/pZXSMRikZhpXhyAskbuxeIgDFRRC92sYNuXKTbnFbbCWgi6yFp6Sd6CNNClyuyntoyC8JukkCWecopt2KSx2FvNHdGIW8CzlI2dCneulZTrL,https://www.rottentomatoes.com/profiles/pZXSMRikZhpXhyAskbuxeIgDFRRC92sYNuXKTbnFbbCWgi6yFp6Sd6CNNClyuyntoyC8JukkCWecopt2KSx2FvNHdGIW8CzlI2dCneulZTrL,Santiago R,"Jul 27, 2025",A classic masterpiece!,,,
https://www.rottentomatoes.com/profiles/lxmIYwfgVIqnsvQTjRF8duWycooCX4FWjhApFdLSQQCzkialuLysjNfppCrZIdVCAKFlqsnnC6NfzlI4GT8ocnPCVQI0AH21H4ZIVNtjMcRG,https://www.rottentomatoes.com/profiles/lxmIYwfgVIqnsvQTjRF8duWycooCX4FWjhApFdLSQQCzkialuLysjNfppCrZIdVCAKFlqsnnC6NfzlI4GT8ocnPCVQI0AH21H4ZIVNtjMcRG,David S,"Jul 27, 2025","Loved this film. Had to watch it a few times! It's raw, rough and real.",,,
https://www.rottentomatoes.com/profiles/OyBiB0Hg8TrNfwNujDczNckWCkkCWgFr8cWDH0Yi22CNnizpu9xIPohKKCnouG9HeZFKaTGGCkrfLxFkJSlACAgIr1uKJIDbHmaIqnSjdh8A,https://www.rottentomatoes.com/profiles/OyBiB0Hg8TrNfwNujDczNckWCkkCWgFr8cWDH0Yi22CNnizpu9xIPohKKCnouG9HeZFKaTGGCkrfLxFkJSlACAgIr1uKJIDbHmaIqnSjdh8A,Jean M,"Jul 22, 2025",Best Movie i've watched,,,
https://www.rottentomatoes.com/profiles/NXOTWNFBqCmxFzduZwsdqIqwubbCAvS8jCxrFZyuRRCv9idXF8lIABUGGCDNu1YFlBijRs99CD8FjqhlKckPIvDsKNsoNTdgc2PtwpSBRhmq,https://www.rottentomatoes.com/profiles/NXOTWNFBqCmxFzduZwsdqIqwubbCAvS8jCxrFZyuRRCv9idXF8lIABUGGCDNu1YFlBijRs99CD8FjqhlKckPIvDsKNsoNTdgc2PtwpSBRhmq,Mourning K,"Jul 21, 2025",The greatest Joker of all time.,,,
https://www.rottentomatoes.com/profiles/XPvSnvFAJiReF1wueRTRohoRCRRCbVt6bfBefyLS11CPYiZASxguyBcooCnrILYh4bIzyHOOCmqTnjIlVIpvubeiBDFkvfYeFxwhMguKMtlg,https://www.rottentomatoes.com/profiles/XPvSnvFAJiReF1wueRTRohoRCRRCbVt6bfBefyLS11CPYiZASxguyBcooCnrILYh4bIzyHOOCmqTnjIlVIpvubeiBDFkvfYeFxwhMguKMtlg,Arbi A,"Jul 19, 2025",The details in this film is amazing. If you are a person who notice the details ..you will love this film.details in acting .. enviroment..everything is so good.,,,
https://www.rottentomatoes.com/profiles/42KHoyC6ptKOHlQcxQsXpTLqIPPCM6IgvSvOIlNiyyC8oiRwHdRfqyFyyCdBIr6t9mSMkTOOCGdFaDIdNFLPIOLHBdCPLubZfrJSBYHyqs1p,https://www.rottentomatoes.com/profiles/42KHoyC6ptKOHlQcxQsXpTLqIPPCM6IgvSvOIlNiyyC8oiRwHdRfqyFyyCdBIr6t9mSMkTOOCGdFaDIdNFLPIOLHBdCPLubZfrJSBYHyqs1p,Jake S.,"Jul 19, 2025","While Joaquin Phoenix delivers a terrific performance, the movie itself falls a bit short for me. I found the twist to be very predictable. It also feels as though they shoehorned this story into the DC Universe. I will say, however, that the final half hour or so of this film is tremendous and there are some truly iconic shots from a cinematography standpoint.",,,
https://www.rottentomatoes.com/profiles/x9DSk6FO4f2QsrXfbdFw9IWRhjjCPniVQURMSJ1immCdxiazCNxSl8HjjC82FrWux0CM2uNNCBKT6lSgYIZ1u4khxMIzJu2Yt1QIDRFMPfzA,https://www.rottentomatoes.com/profiles/x9DSk6FO4f2QsrXfbdFw9IWRhjjCPniVQURMSJ1immCdxiazCNxSl8HjjC82FrWux0CM2uNNCBKT6lSgYIZ1u4khxMIzJu2Yt1QIDRFMPfzA,CaptainBoulder T,"Jul 16, 2025","Boring movie, nothing happens except for the last 5 minutes, the laughing got annoying way too quick",,,
https://www.rottentomatoes.com/profiles/0x6uOWHzrCZmFnafpjS6wH4lIeeCavFkzFOKfGQIyyCk4izaiPaCjyi44CK1F1wTZgfR4tvvCv1ckzs46sNos1xHDpULocz6idnHw0f1AhRL,https://www.rottentomatoes.com/profiles/0x6uOWHzrCZmFnafpjS6wH4lIeeCavFkzFOKfGQIyyCk4izaiPaCjyi44CK1F1wTZgfR4tvvCv1ckzs46sNos1xHDpULocz6idnHw0f1AhRL,Daniel L,"Jul 15, 2025","Hernan David chaparro A raw portrait of loneliness and mental illness. Joaquin Phoenix’s performance is powerful and unforgettable. The story is dark, uncomfortable, and realistic. It shows how society can destroy a person. Not an action movie, but a social reflection",,,
https://www.rottentomatoes.com/profiles/ANMH6ohGeikwSpzIK0UYlfkOCaaC9Dc8zcAyfkmsaaCyriWJi68hrQI11C8ASgaIxpImbI99CrgSOBin4SegF8QhqGI6ViGvFa1uRGHmyfaX,https://www.rottentomatoes.com/profiles/ANMH6ohGeikwSpzIK0UYlfkOCaaC9Dc8zcAyfkmsaaCyriWJi68hrQI11C8ASgaIxpImbI99CrgSOBin4SegF8QhqGI6ViGvFa1uRGHmyfaX,Sergio N.,"Jul 15, 2025","Love this version of Joker, but I was hoping for it to be connected to Robert pattisons Batman",,,
