review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__image-avatar src
https://www.rottentomatoes.com/profiles/9XWSBPFOyc1Vcw8iqgSx0FbOi88CXNCqeIOxFjLtVVC2KiRLhq4HvXSPPCZ9uDvuKBtO1HXXCbWTgnfNRh8AHYaSOnfZqcjeFGWuNVIpzsYz,https://www.rottentomatoes.com/profiles/9XWSBPFOyc1Vcw8iqgSx0FbOi88CXNCqeIOxFjLtVVC2KiRLhq4HvXSPPCZ9uDvuKBtO1HXXCbWTgnfNRh8AHYaSOnfZqcjeFGWuNVIpzsYz,Jake S.,"Aug 8, 2025",Love this movie. Tom Hanks won an Oscar for this because he was perfect. If I see it on tv any night of the week I stop what I’m doing and turn it on. Every. Single. Time.,,,
https://www.rottentomatoes.com/profiles/ZOJHDqFK2umQIaeTNQIXYT0gFDDCrZiDBH9Bu8LURRCKJiWqHxosz6FGGClpIX9SmdHJbseeCNzuaYSgKcd0uBQH2Dfn0IN1fMaH8MIlghed,https://www.rottentomatoes.com/profiles/ZOJHDqFK2umQIaeTNQIXYT0gFDDCrZiDBH9Bu8LURRCKJiWqHxosz6FGGClpIX9SmdHJbseeCNzuaYSgKcd0uBQH2Dfn0IN1fMaH8MIlghed,Kornel P,"Aug 7, 2025","A great movie, and I even laughed a few times. I highly recommend this film; it's fun to watch just for the sake of watching it.",,,
https://www.rottentomatoes.com/profiles/bpzIv8IyKIjzuOnubyFvMF0oSbbCkqSwqsWMugWF44CzlijnHNku4JTBBCRNIA4FJeIRjiXXCVqsdjcOAHaQfr1CaPIJ2h6vfDVF09HVMuwV,https://www.rottentomatoes.com/profiles/bpzIv8IyKIjzuOnubyFvMF0oSbbCkqSwqsWMugWF44CzlijnHNku4JTBBCRNIA4FJeIRjiXXCVqsdjcOAHaQfr1CaPIJ2h6vfDVF09HVMuwV,Jason V,"Jul 29, 2025","31 years later, it still invokes the same emotions i had when I first saw this movie in ‘94. An absolute classic and my favorite of all time.",,,
https://www.rottentomatoes.com/profiles/XPpHnkIAyIR2C1ZfGMf8ouAOhRRCbkF6PsoAsydF11CPYiZ8IxbhyqIooCJGFbRI4KFlKIOOCAJinjIldhpVF29SBjsk6SYjtx0IMKFzRT8g,https://www.rottentomatoes.com/profiles/XPpHnkIAyIR2C1ZfGMf8ouAOhRRCbkF6PsoAsydF11CPYiZ8IxbhyqIooCJGFbRI4KFlKIOOCAJinjIldhpVF29SBjsk6SYjtx0IMKFzRT8g,Steve W,"Jul 28, 2025","A bit overrated. It sort of just ended with no conclusion really and it is quite controversial leaning in with American History, but still solid with great acting from Tom Hanks and Robin Writht.",,,
https://www.rottentomatoes.com/profiles/nxrSDwIpkHGJSwRS6RIo0IdXfAAC9JSnkSljsbNsddCZ0iqasXkidohllCQVu1QCGeTVvhwwCdGt4NhnRI9YtGACMqHVQh0Xsj9TxnFQvIqZ,,,"Jul 28, 2025","Forrest Gump is one of those movies that leaves a lasting impression, even if it leans a little heavy on sentimentality. Tom Hanks is phenomenal—his performance as Forrest is tender, believable, and full of heart. The film does an amazing job of blending personal moments with sweeping historical events, and somehow it all feels cohesive. The soundtrack is great too—every song fits the moment perfectly and adds to the nostalgia. That said, some parts feel a bit too on-the-nose or emotionally manipulative. Jenny’s arc, in particular, could’ve been handled with more depth. Still, it’s a beautiful story about love, fate, and perseverance, and it’s easy to see why so many people connect with it. Not quite perfect, but definitely unforgettable.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/2dqHnJC0NHnds9XIeRFzkt1YSxxCbRIJpIv8speIAACnqi2Jf8wSaAc44CPLIb1ukdFMjSNNCyocpRI9gik1IymFLPcOzIPZs9LIZ2cOYt0J,,,"Jul 26, 2025",There are some films that leave you eith tears in your eyes. There are some films that inspire you to do something. There are some films that leave you eith your jaw on the floor. This film does it all. This is one of those rare few that changes you - leaves you a better person after finishing it.,,,
https://www.rottentomatoes.com/profiles/wP6U6mumwixdiLnfNwUvnsmVCVVCbLiDNi9xIb8H66CQoi8oIPWTdPcBBCxLILkIa4tevH99C19hmbIkqcMLuZBI2ohkeSqksbyHJWIvGfbB,https://www.rottentomatoes.com/profiles/wP6U6mumwixdiLnfNwUvnsmVCVVCbLiDNi9xIb8H66CQoi8oIPWTdPcBBCxLILkIa4tevH99C19hmbIkqcMLuZBI2ohkeSqksbyHJWIvGfbB,Alice K,"Jul 24, 2025","Funny, witty, engaging, fantastic story line and story telling. I have seen it number of times over the years. I have never met anyone who didn’t like Forrest Gump. Tom Hanks ❤️",,,
https://www.rottentomatoes.com/profiles/oreHXZfJpT9NuNLiaAFRKIyQC66C0pIlVivNfRYTllCZOim8f4JcJvImmCXKuq0Hv4FyoFNNC9VTWGCw0IN1IVXs0zIpjI1RUoYSgki9AHZl,https://www.rottentomatoes.com/profiles/oreHXZfJpT9NuNLiaAFRKIyQC66C0pIlVivNfRYTllCZOim8f4JcJvImmCXKuq0Hv4FyoFNNC9VTWGCw0IN1IVXs0zIpjI1RUoYSgki9AHZl,Tina P.,"Jul 22, 2025",Number one favorite movie of all time!,,,
https://www.rottentomatoes.com/profiles/nxrSDMfpkHYzHw0haGHg0FdBhAAC9eUngil1hbRFddCZ0iqOIXbHdGfllCQvF1QCGJIkDFwwCX8IYMtnBS9YtGACMpuJQuWYfLAFo9sJeIqd,https://www.rottentomatoes.com/profiles/nxrSDMfpkHYzHw0haGHg0FdBhAAC9eUngil1hbRFddCZ0iqOIXbHdGfllCQvF1QCGJIkDFwwCX8IYMtnBS9YtGACMpuJQuWYfLAFo9sJeIqd,Robert J,"Jul 22, 2025","heartwarming and a cool way of narrating a film as if you are the person on the bench listening to the story. with that said it didn't do anything that great with a somewhat simple story, seemly adding in ridiculous things Forrest has done in what i can only assume is an attempt to be funny which is falls short of most of the time",,,
https://www.rottentomatoes.com/profiles/0N1HOqCAmiZqHnyTpvF6Xh46HeeCXvIkbuzjsdQFyyCk4iwZconFjvT44CKdu1eIZbhDYIvvCJzSkzs4GhNyS1xHD4twQhz1I4btwMF1NIgk,https://www.rottentomatoes.com/profiles/0N1HOqCAmiZqHnyTpvF6Xh46HeeCXvIkbuzjsdQFyyCk4iwZconFjvT44CKdu1eIZbhDYIvvCJzSkzs4GhNyS1xHD4twQhz1I4btwMF1NIgk,Gavin M.,"Jul 21, 2025",Don’t care what anybody says Forrest Gump is a masterpiece it is an amazing original movie and in my top 5 movies of all time I love it and Tom Hanks puts on a character of a life time like if anyone else did i don’t know how it would go,,,
https://www.rottentomatoes.com/profiles/LrxHxkulwIxQFYruJVTAahorsvvCZ2fmxInRFGaI99CAYiY8udLuVlfmmCydI12c2xhzDHPPCJDSqyfW0hbBTBlCv6HqnSnbsBliMnsvRILM,https://www.rottentomatoes.com/profiles/LrxHxkulwIxQFYruJVTAahorsvvCZ2fmxInRFGaI99CAYiY8udLuVlfmmCydI12c2xhzDHPPCJDSqyfW0hbBTBlCv6HqnSnbsBliMnsvRILM,Jj R.,"Jul 19, 2025",Fav movie of all time,,,
https://www.rottentomatoes.com/profiles/4JLfoAuk0SLlFXqi21t9miLRFPPCM8SgvSv2ilvFyyC8oi80FgNcqYhyyCGwuayi9oImkIOOCGAToJIK1uLpTOMIpOsGLtbwirmulQFKrc1Z,https://www.rottentomatoes.com/profiles/4JLfoAuk0SLlFXqi21t9miLRFPPCM8SgvSv2ilvFyyC8oi80FgNcqYhyyCGwuayi9oImkIOOCGAToJIK1uLpTOMIpOsGLtbwirmulQFKrc1Z,Jamie W,"Jul 15, 2025",It’s very funny watching Tom Hanks and quite cringe at times. I watch this so many times as a kid. I’m now in my 40s rewatch it again last night and can’t deny it. It’s an amazing film. I just find it really funny. It made me wonder if there is a real life Forrest Gump type person on the planet. (Never go full re—tard ). - Tropic Thunder- Robert Downey jr 😂,,,
https://www.rottentomatoes.com/profiles/x9ZTk2cOniNmsrvsykiwpsW4TjjCPLhnNI0aiJbSmmCdxiaZINzIlOTjjCqYuZ4uw2fMAINNCBrF6rUgbhZMi4LsoWCpLT9Ku12TDyiM8TzQ,,,"Jul 10, 2025",A movie that has everything!!,,,
https://www.rottentomatoes.com/profiles/KKvuk0sKPHjkFg1u86h9aukBu44ClmIzwt8xHzMiggCLMidefxafVRCwwCZDFDmfbKIN8FwwCZrcVgSekfoPI1GuN8CxKFQaSYWFBpiNyizP,https://www.rottentomatoes.com/profiles/KKvuk0sKPHjkFg1u86h9aukBu44ClmIzwt8xHzMiggCLMidefxafVRCwwCZDFDmfbKIN8FwwCZrcVgSekfoPI1GuN8CxKFQaSYWFBpiNyizP,Darren P,"Jul 8, 2025",One of the best movies of all time and best quotes life is live a box of chocolates you never know what you gonna get. I don't think it can be remade as Tom Hanks did a outstanding job and brought a character to the world Legendary film,,,
https://www.rottentomatoes.com/profiles/NXOTWNFBqCmxFzduZwsdqIqwubbCAvS8jCxrFZyuRRCv9idXF8lIABUGGCDNu1YFlBijRs99CD8FjqhlKckPIvDsKNsoNTdgc2PtwpSBRhmq,https://www.rottentomatoes.com/profiles/NXOTWNFBqCmxFzduZwsdqIqwubbCAvS8jCxrFZyuRRCv9idXF8lIABUGGCDNu1YFlBijRs99CD8FjqhlKckPIvDsKNsoNTdgc2PtwpSBRhmq,Mourning K,"Jul 3, 2025","Are heartbreaking tale of a man who every buddy thought couldn't, could.",,,
https://www.rottentomatoes.com/profiles/NXeSWOhkWim2szLIZyfmvuqwubbCAmfdGHvpuW8FRRCv9izVS8gTjdSGGCRdu4mTrQtjJH99CDOHjWf89TkBu9XIKNsoefwDf2PtwDF2qIGa,https://www.rottentomatoes.com/profiles/NXeSWOhkWim2szLIZyfmvuqwubbCAmfdGHvpuW8FRRCv9izVS8gTjdSGGCRdu4mTrQtjJH99CDOHjWf89TkBu9XIKNsoefwDf2PtwDF2qIGa,Nolan W.,"Jul 2, 2025","Forrest Gump is my second favorite movie of all time, and for good reason. It’s one of those rare films that sticks with you long after the credits roll — funny, emotional, uplifting, and quietly profound all at once. Tom Hanks delivers a performance that’s nothing short of iconic. He completely becomes Forrest, a character so sincere and genuine that you can’t help but root for him every step of the way. The journey he takes — from the football field to the Vietnam War to running across the country — is wild, touching, and deeply human. And after watching it… I couldn't stop making Bubba jokes. 😭 The shrimp scene lives rent-free in my head. It’s hilarious and heartbreaking all at once — a perfect example of how this movie blends comedy and emotion so effortlessly. The film is a masterclass in storytelling, weaving real history into Forrest’s personal tale in such a seamless way. The soundtrack is perfect, the pacing never drags, and by the end, you’ve laughed, cried, and maybe even learned something about life, love, and destiny. “Life is like a box of chocolates…” and this movie is one of the sweetest. 9.8/10. A true classic that never gets old.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/8QJUlaSw4FqacB2I69IzdTjvteeCnqT9JhVeCvztGGCokiWyIY6fMmhllCavug2hn6hk4tAACvncaKhlAumZHVeTRAiN2SKbimOCq1uzYceD,https://www.rottentomatoes.com/profiles/8QJUlaSw4FqacB2I69IzdTjvteeCnqT9JhVeCvztGGCokiWyIY6fMmhllCavug2hn6hk4tAACvncaKhlAumZHVeTRAiN2SKbimOCq1uzYceD,Mitch B,"Jul 1, 2025","I love everything about this fim! The trip through history, the characters and the warm feeling I get when I watch this movie. one of my top three feel god '90s' movies. I love how Forrest never plays the victim. He keeps on moving.",,,
https://www.rottentomatoes.com/profiles/eryu12UGYTQACqPFGvigOiwPIXXCzlSNgubJI21sDDClLiOPSblSvYF11C4MhMOFKbsP0CWWCjMILeSJPsKNulrT1jIxOHvosDOsQBcqXIQz,https://www.rottentomatoes.com/profiles/eryu12UGYTQACqPFGvigOiwPIXXCzlSNgubJI21sDDClLiOPSblSvYF11C4MhMOFKbsP0CWWCjMILeSJPsKNulrT1jIxOHvosDOsQBcqXIQz,ravizin m,"Jun 25, 2025","Forrest Gump is a heartwarming and iconic film that blends history, humor, and deep emotional moments. Tom Hanks delivers an unforgettable performance as Forrest, a man with a kind heart and simple wisdom who unintentionally impacts key events in American history. The film's mix of humor, love, and tragedy, set against a beautiful soundtrack, creates a timeless narrative. Directed by Robert Zemeckis, it explores themes of destiny, perseverance, and the randomness of life. With its memorable lines, touching moments, and an enduring message, Forrest Gump remains a cinematic classic that resonates across generations.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/42ntoaI6ptKnSXnFxJuXpTLGsPPCM0FgvSv8SlDsyyC8oi8audZHqriyyCGwuaOhnYCmwCOOCGZsavCKWTLrsOMIBXcGxuboHr4fBgfyOHMm,https://www.rottentomatoes.com/profiles/42ntoaI6ptKnSXnFxJuXpTLGsPPCM0FgvSv8SlDsyyC8oi8audZHqriyyCGwuaOhnYCmwCOOCGZsavCKWTLrsOMIBXcGxuboHr4fBgfyOHMm,Mary-Jane K,"Jun 24, 2025","This movie was perfect. What’s more to say? It had great emotion, action, comedy, and everything else. It was amazing and I dare to say, possibly the greatest movie of all time. (That and Shawshank Redemption of course)",,,
