review,Titre
"Lily Gladstone coloca em cena tudo de si, e entrega o que provavelmente é uma parcela da dor que os povos indígenas podem ter sofrido na corrida do petróleo. A santa ignorância de Ernest, do DiCaprio, é tão rica e convincente, que a mão chega a tremer. E o Robert De Niro, em excelente forma, condensa enorme ambição, frieza e paralelos com o imperialismo que fazem com que tudo ali seja muito mais que um belo filme.",killerofthemoon
"This thing got out of the theaters faster than a testosterone and winstrol fueled Ben Johnson in Seoul, South Korea and after suffering through it I know why. Bobby Ds accent was annoying and utterly unconvincing, I couldn’t tell if he was going for a southern or cajun accent but either way it didn’t work for me. Also, if you put the movie on mute with closed captions and watch his facial expressions and hand movements, you would have thought he was using his NY/NJ Italian schtick. Between the bad accent and confusing facial and hand movements, it was hard for me to focus on the movies plot which played out over 3.5 hours that felt like 6. Unless you are into self punishment, steer clear of this movie.",killerofthemoon
Don’t be scared of the runtime. It feels faster by almost an hour due to the masterful direction of an all-time great Martin Scorsese and the compelling cast.,killerofthemoon
"No character development, no depth, De Caprio just looks too intelligent in his portrayal of a real dumb ass. Simply too flat inspite of the whole tragic and the fact that it’s an historic story. Blood flows for 3 1/2 hours instead of a real psychological analysis of the why and also the prehistory.",killerofthemoon
"Scorsese has directed some of my favourite movies (Goodfellas, Casino and The Wolf of Wall Street) with a superb editor, Thelma Schoonmaker. Thelma, why didn't you rein him in on this offering? It's overlong (like The Irishman) with a confusing, rambling narrative. Come to think of it, the whole effort should have been consigned to the cutting room floor.",killerofthemoon
"A complex story of the Osage murders, and the nascent Federal Bureau of Investigation. Characters are complex and layered, and it's not always easy to tell what motivations exist for each character. A spectacle of a film.",killerofthemoon
Масивне полотно від Скорсезе і перша яскрава та вагома ревізія впливу американців на винищення корінного населення Америки. Про акторський ансамбль і згадувати зайве. Всі дуже сподобались.,killerofthemoon
"It's a long movie, but absolutely fascinating. You would think that with so much time, the pacing would become boring, but that wasn't the case. With the editing, the acting, and even the narrative, it was always smooth and captivating. There was always something happening that caused shifts in the storyline, which kept me hooked throughout the entire journey. In fact, I would dare to say that I didn’t feel the three and a half hours. Literally, they flew by for me. The only thing that didn’t quite convince me was the way they presented the ending, because—although creative—it wasn’t entirely satisfying for me. Maybe they wanted to rush it, considering it was already a very long movie, but I would have been willing to watch another half hour just to see the successive events. Additionally, I’m very happy that Mollie survived and that all the scoundrels paid for their sins. By the way, I also find it fascinating that this happened in real life, and that it was the first major case handled by the newly established FBI under Hoover. It’s not like he had a good reputation, but—at least—in this case, justice prevailed, or something close to justice, since—it seems— they all walked free, regretting their crimes.",killerofthemoon
"I'm honestly not sure if my problem with this movie stems from me first reading the book or that because it is a Martin Scorsese movie that means everyone thinks it's instantly good. Firstly, I'm not sure who decided that this story needed to be told from Ernest's perspective, but that person should be ashamed of their decision. The book was more of a murder mystery non-fiction, and if anything it was mostly from the FBI agent's perspective because it was based off his notes in the actual case. Ernest is a reprehensible, spineless tool, and although the movie demonstrates that at times, it very weirdly tries to get us to empathize with him as well. It makes it seem like he was just a man put in this position and things grew out of his control, but he knew from the beginning what the plan was and went along with it anyway. It also just seems like bad storytelling to me to lay out the perpetrators and plan of this murder plot right from the start, and have the audience watch the police/FBI fumble around while we know exactly what happened. This story was poorly written/adapted, and it doesn't matter that Martin Scorsese was the director or that the acting was amazing because none of that is able to fix a bad screenplay.",killerofthemoon
"O crime contra a Nação Osage sob a perspectiva indígena é o retrato brutal da relação entre os povos originários da América do Norte e o homem branco. Neste drama cruel, Martin Scorcese expõe a ganância desmedida e o perigo combinado a uma fotografia fascinante e um roteiro coerente, que permitem ao cinéfilo uma imersão profunda sobre a maldade humana e a inocência, a quebra de confiança, a traição e o medo.",killerofthemoon
